botanical_name,common_name,garden_zone,sun_tolerance,plant_type,plant_image_filename
Acorus americana,American Sweetflag,CENTER,SUN,PERENNIAL,american_sweetflag.jpg
Ilex gabra,Shamrock Inkberry,CENTER,"MIXED, SHADE",SHRUB,shamrock_inkberry.jpg
Iris versicolor,Blue Flag Iris,CENTER,"SUN, MIXED",PERENNIAL,blue_flag_iris.jpg
Asclepias incarnata,Swamp Milkwed,CENTER,"SUN, MIXED",PERENNIAL,swamp_milkweed.jpg
Panicum virgatum,Switchgrass,"CENTER, PERIMETER","SUN, MIXED",GRASS,switchgrass.jpg
Agastache foeniculum,Giant Hyssop,PERIMETER,"SUN, MIXED, SHADE",PERENNIAL,giant_hyssop.jpg
Aquilegia canadensis,Wild Red Columbine,PERIMETER,"MIXED, SHADE",PERENNIAL,wild_columbine.jpg
Ascelpias tuberosa,Butterfly Weed,PERIMETER,SUN,PERENNIAL,butterfly_weed.jpg
Heliopsis helianthoides,Oxeye Sunflower,PERIMETER,"SUN, MIXED",PERENNIAL,oxeye_sunflower.jpg
Symphyotrichum novae-angliae,New England Aster,PERIMETER,MIXED,PERENNIAL,new_england_aster.jpg
Schizachyrium scoparium,Little Bluestem,PERIMETER,"SUN, MIXED",GRASS,little_bluestem.jpg
Chrysogonum virginianum,Green and Gold,PERIMETER,"MIXED, SHADE",PERENNIAL,green_and_gold.jpg
Heuchera americana,American Alumroot,PERIMETER,"MIXED, SHADE",PERENNIAL,american_alumroot.jpg
Mitchella repens,Partridgeberry,PERIMETER,SHADE,PERENNIAL,partridgeberry.jpg
Amelanchier canadensis,Canadian Serviceberry,PERIMETER,"SUN, MIXED, SHADE",SHRUB,canadian_serviceberry.jpg
Osmunda claytoniana,Interrupted Fern,PERIMETER,SHADE,FERN,interrupted_fern.jpg
Polystichum acrostichoides,Christmas Fern,PERIMETER,SHADE,FERN,christmas_fern.jpg
Onoclea sensibilis,Sensitive Fern,CENTER,"MIXED, SHADE",FERN,sensitive_fern.jpg
Thelypteris palustris,Marsh Fern,CENTER,SUN,FERN,marsh_fern.jpg
Osmunda regalis,Royal Fern,CENTER,"MIXED, SHADE",FERN,royal_fern.jpg
Osmunda cinnamomea,Cinnamon Fern,CENTER,"MIXED, SHADE",FERN,cinnamon_fern.jpg
Juncus acuminatus,Tapertip Rush,CENTER,MIXED,RUSH,tapertip_rush.jpg
Juncus bufonius,Toad Rush,"CENTER, PERIMETER",SUN,RUSH,toad_rush.jpg
Carex albursina,White Bear Sedge,PERIMETER,"SUN, MIXED",SEDGE,white_bear_sedge.jpg